CHAPTER,ID,CO_MEMBER,MEMBER_TYPE,CATEGORY,STATUS,LAST_NAME,FIRST_NAME,MIDDLE_NAME,EMAIL,JOIN_DATE,ANNIVERSARY_DATE,PAID_THRU,ADDRESS_1,ADDRESS_2,CITY,STATE_PROVINCE,ZIP,COUNTRY,HOME_PHONE,CAR_YEAR,CAR_MODEL,CAR_COLOR,CAR_BODY,REFERRED_BY,LEARN_PCA,NEWS_LETTER_OPT_OUT
"FLC","2026060302","","Member","","","Alpha","Amy","","jane.doe@nodomain.com","05/01/2021","05/01/2021","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060444","","Member","","Active","","Bob","","jane.doe@nodomain.com","05/01/2021","05/01/2021","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060118","","Member","","Active","Carter","","","jane.doe@nodomain.com","05/01/2021","05/01/2021","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060002","","Member","","Active","Diaz","Dana","","jane.doe@nodomain.com","05/01/2021","","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060002","","Member","","Active","Ellis","Eve","","jane.doe@nodomain.com","05/01/2021","not-a-date","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060877","","Member","","Active","Frost","Finn","","jane.doe@nodomain.com","05/01/2021","2026-05-01","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060598","","Member","","Active","Gomez","Gail","","jane.doe@nodomain.com","05/01/2021","05-01-2021","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060494","","Member","","Active","Haas","Hugo","","jane.doe@nodomain.com","05/01/2021","13/01/2001","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060989","","Member","","Active","Ito","Ivy","","jane.doe@nodomain.com","05/01/2021","00/01/2006","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060801","","Member","","Active","Jara","Jon","","jane.doe@nodomain.com","05/01/2021","02/30/2011","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060944","","Member","","Active","Moon","Harold","","jane.doe@nodomain.com","05/01/2016","05/01/2016","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060786","","Member","","Active","Voss","Irene","","jane.doe@nodomain.com","05/01/2021","05/01/2021","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"FLC","2026060528","","Member","","Expired","Kirk","Kim","","jane.doe@nodomain.com","05/01/2021","05/01/2016","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
"GC","2026060704","","Member","","Active","Lima","Leo","","jane.doe@nodomain.com","05/01/2021","05/01/2016","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""

"FLC","9999999999","","Member","","Active","Nolan","Bob","","bob@nodomain.com"
FLC,9999999998,,Member,,Active,Ortiz, Jr.,Oscar,,oscar@nodomain.com,05/01/2016,05/01/2016,05/31/2027,1 Test St,,Nowhere,Florida,34186,United States,,,,,,,,
"FLC","2026060157","","Member","","Active","Pena","Paul","","jane.doe@nodomain.com","05/01/2021","0/1/2006","05/31/2027","123 Test Street","","Nowhere","Florida","34186","United States","(407) 555-1234","2020","911 Carrera","Black","","","",""
