Name,Join Date
Alice Thornton,1/1/1981
,5/1/1996
Bob Nolan,
Carol Perez,not-a-date
Dave Kim,2026-05-01
Eve Jackson,13/1/2001
Frank Burns,0/1/2006
Grace Kelly,2/30/2011
Harold Moon,5/1/2016
Irene Voss,5/1/2021
Jane, Smith,5/1/1991
K,1/1/1986
,
Lorem Ipsum Dolor Sit Amet Consectetur Adipiscing Elit Very Long Name That Goes On And On,1/1/2001
Marta Obrien,1/1/0000
Neil Watts,1/1/9999
Oona Patel,5/1/-10
Petra Ramos,abc
Quinn Davis,01-01-2011
Rita Ford,1/1/2011
Sara Bold,1/1/2011
Tom Nash,1/1/2011
Uma Price,1/1/2011
Vera Scott,1/1/2011
